COBERTURA_NETA,Casos_Zika,DESERCIÓN,Lluvia-14d-prev,Lluvia-21d-prev,Lluvia-7d-prev,MORTALIDAD_INFANTIL_POR_MIL_NACIDOS,NAME,NBI,POBLACIÓN_5_16,SEDES_CONECTADAS_A_INTERNET,TASA_MATRICULACIÓN_5_16
97.41,1,3.5,284,2,147,13.14,Colombia-Cundinamarca-Caqueza,30.34,3515,32.26,97.47
78.36,0,1.43,62,2,23,17.05,Colombia-Antioquia-Caracoli,29.93,1012,53.33,78.36
74.84,0,5.76,15,1,17,15.79,Colombia-Antioquia-Caramanta,25.0,1105,30.0,74.84
79.17,0,0.38,181,15,258,39.21,Colombia-Santander-Carcasi,66.71,960,9.68,79.17
88.34,0,4.35,1,0,5,25.94,Colombia-Antioquia-Carepa,43.17,14593,76.32,88.34
106.49,6,2.45,49,7,58,17.36,Colombia-Tolima-Carmen_de_Apicala,28.69,1802,75.0,106.55
74.04,0,0.51,222,0,24,20.51,Colombia-Cundinamarca-Carmen_de_Carupa,39.19,1830,11.54,74.04
0.0,0,8.26,6,0,0,45.15,Colombia-Choco-Carmen_del_Darien,90.67,1558,15.56,0.0
101.54,0,1.95,1,0,5,16.13,Colombia-Antioquia-Carolina,17.42,714,83.33,101.54
96.39,65,3.19,49,0,39,16.44,Colombia-Bolivar-Cartagena_de_Indias,26.01,212927,95.11,96.55
70.55,0,4.52,83,9,110,22.86,Colombia-Caqueta-Cartagena_del_Chaira,51.57,9724,9.09,70.55
85.59,3,0.93,2,0,12,13.81,Colombia-Valle_Del_Cauca-Cartago,15.69,24003,93.02,85.61
77.24,0,8.86,81,0,94,52.66,Colombia-Vaupes-Caruru,100.0,848,11.11,77.24
77.88,0,3.5,15,1,17,22.88,Colombia-Tolima-Casabianca,32.55,1573,18.52,77.88
128.66,1,2.88,308,0,318,21.4,Colombia-Meta-Castilla_la_Nueva,23.42,2163,100.0,128.66
78.95,5,2.83,0,5,6,19.17,Colombia-Antioquia-Caucasia,52.41,27554,65.57,78.95
90.95,0,1.08,181,15,258,36.31,Colombia-Santander-Cepita,47.9,409,7.69,90.95
98.3,1,2.26,0,0,1,25.04,Colombia-Cordoba-Cerete,50.43,19767,54.72,98.42
82.91,0,1.22,145,1,33,15.49,Colombia-Boyaca-Cerinza,26.02,749,8.33,82.91
85.53,0,0.88,181,15,258,23.14,Colombia-Santander-Cerrito,46.15,1272,11.54,85.53
92.19,0,1.61,75,3,9,22.82,Colombia-Magdalena-Cerro_de_San_Antonio,63.73,1945,44.44,92.19
44.29,0,6.97,0,0,9,39.25,Colombia-Choco-Certegui,87.24,2409,50.0,44.29
78.68,0,0.98,0,5,2,16.7,Colombia-Nariño-Chachagüi,0.0,3016,33.33,78.68
61.48,0,0.37,49,7,58,17.45,Colombia-Cundinamarca-Chaguani,44.09,867,29.41,61.48
93.98,0,1.51,41,5,0,29.52,Colombia-Sucre-Chalan,71.03,1080,44.44,93.98
60.61,1,3.44,145,1,33,24.99,Colombia-Casanare-Chameza,46.35,594,20.0,60.61
94.91,2,2.55,8,0,46,24.93,Colombia-Tolima-Chaparral,47.65,12076,8.23,94.92
101.9,0,2.25,465,0,39,16.08,Colombia-Santander-Charala,24.08,2260,7.5,101.9
81.85,0,0.95,301,1,182,16.0,Colombia-Santander-Charta,32.35,496,21.43,81.85
100.65,0,2.77,49,7,58,10.86,Colombia-Cundinamarca-Chia,7.11,25468,100.0,102.01
114.79,0,5.91,75,3,9,26.07,Colombia-Magdalena-Chivolo,72.25,4693,36.36,114.79
76.52,1,6.4,6,0,0,15.69,Colombia-Antioquia-Chigorodo,40.15,19987,57.45,76.52
82.02,0,0.39,41,5,0,23.1,Colombia-Cordoba-Chima,43.94,3454,42.86,82.02
92.49,0,2.1,465,0,39,22.85,Colombia-Santander-Chima,43.94,519,20.0,92.49
100.87,0,3.76,149,0,13,26.48,Colombia-Cesar-Chimichagua,66.64,8881,45.35,100.89
79.73,1,1.03,294,0,39,12.8,Colombia-Norte_Santander-Chinacota,22.92,3656,25.0,79.73
78.41,0,3.07,222,0,24,22.68,Colombia-Boyaca-Chinavita,35.79,704,45.45,78.41
80.68,1,3.84,2,0,12,16.11,Colombia-Caldas-Chinchina,18.58,10766,33.33,80.69
90.11,0,1.6,41,5,0,26.96,Colombia-Cordoba-Chinu,53.78,10080,51.47,90.15
84.32,0,1.89,49,7,58,15.01,Colombia-Cundinamarca-Chipaque,30.34,1907,28.57,84.43
73.94,0,1.44,465,0,39,16.32,Colombia-Santander-Chipata,41.45,994,21.43,73.94
83.64,0,2.61,222,0,24,11.73,Colombia-Boyaca-Chiquinquira,17.87,15593,17.95,83.69
67.45,0,0.43,222,0,24,26.15,Colombia-Boyaca-Chiquiza,49.0,1312,31.25,67.45
120.75,2,3.98,149,0,13,19.84,Colombia-Cesar-Chiriguana,53.52,5335,54.05,120.88
69.01,0,1.44,222,0,24,23.68,Colombia-Boyaca-Chiscas,69.98,981,21.43,69.01
79.96,0,1.25,181,15,258,33.56,Colombia-Boyaca-Chita,81.22,2595,35.71,79.96
68.51,0,0.17,294,0,39,18.39,Colombia-Norte_Santander-Chitaga,52.59,2496,9.3,68.51
86.72,2,0.95,465,0,39,22.96,Colombia-Boyaca-Chitaraque,47.31,1190,25.0,86.72
0.0,0,4.61,222,0,24,21.52,Colombia-Boyaca-Chivata,49.37,1487,0.0,30.73
87.07,0,5.98,284,2,147,19.48,Colombia-Boyaca-Chivor,34.16,441,18.18,87.07
97.77,0,2.29,284,2,147,17.26,Colombia-Cundinamarca-Choachi,24.31,2380,23.33,97.77
78.41,0,1.84,222,0,24,16.39,Colombia-Cundinamarca-Choconta,39.98,5344,32.35,78.41
114.25,0,4.17,185,1,18,22.6,Colombia-Bolivar-Cicuco,60.88,2723,77.78,114.25
93.39,43,2.48,19,0,3,15.34,Colombia-Magdalena-Cienaga,43.81,26779,33.33,93.76
78.17,1,0.95,0,0,1,32.02,Colombia-Cordoba-Cienaga_de_Oro,61.84,15055,56.67,78.17
95.0,0,2.71,222,0,24,16.31,Colombia-Boyaca-Cienega,29.81,1019,9.09,95.0
68.59,0,6.79,465,0,39,21.16,Colombia-Santander-Cimitarra,45.74,10877,21.21,68.59
78.24,0,6.06,2,0,12,13.99,Colombia-Quindio-Circasia,17.23,5612,0.0,78.28
91.75,0,3.65,1,0,5,15.09,Colombia-Antioquia-Cisneros,23.75,1818,100.0,91.75
85.89,3,8.48,0,0,9,15.58,Colombia-Antioquia-Ciudad_Bolivar,29.98,6124,84.85,85.89
86.53,0,2.29,49,0,39,20.15,Colombia-Bolivar-Clemencia,72.06,3340,37.5,86.53
104.07,0,4.73,1,0,5,17.05,Colombia-Antioquia-Cocorna,36.23,2949,82.46,104.07
65.27,0,1.83,49,7,58,28.01,Colombia-Tolima-Coello,45.77,2298,75.0,65.27
79.65,0,3.27,222,0,24,11.77,Colombia-Cundinamarca-Cogua,13.16,4903,63.16,79.71
47.74,0,5.31,51,9,44,23.94,Colombia-Huila-Colombia,64.77,2878,19.61,47.74
69.67,0,1.48,0,5,2,21.49,Colombia-Nariño-Colon,57.41,2173,37.04,69.67
